2025-11-13T20:22:50.427 Device 27 | Lap 200 | Lap Time 0:48.600 | CumulativeField 254s | Avg Lap 1:25.767
2025-11-13T20:22:55.587 Device 23 | Lap 201 | Lap Time 10:09.215 | CumulativeField 2s | Avg Lap 2:16.645
2025-11-13T20:23:19.227 Device 38 | Lap 202 | Lap Time 0:36.299 | CumulativeField 59s | Avg Lap 0:35.328
2025-11-13T20:23:24.358 Device 27 | Lap 203 | Lap Time 0:33.930 | CumulativeField 59s | Avg Lap 1:23.513
2025-11-13T20:23:34.438 Device 23 | Lap 204 | Lap Time 0:38.850 | CumulativeField 40s | Avg Lap 2:02.675
2025-11-13T20:23:40.768 Device 24 | Lap 205 | Lap Time 7:49.324 | CumulativeField 164s | Avg Lap 2:17.853
2025-11-13T20:23:52.078 Device 26 | Lap 206 | Lap Time 9:53.825 | CumulativeField 12s | Avg Lap 1:17.990
2025-11-13T20:23:52.618 Device 79 | Lap 207 | Lap Time 4:11.432 | CumulativeField 66s | Avg Lap 1:50.574
2025-11-13T20:23:54.748 Device 38 | Lap 208 | Lap Time 0:35.520 | CumulativeField 23s | Avg Lap 0:35.349
2025-11-13T20:23:57.988 Device 27 | Lap 209 | Lap Time 0:33.630 | CumulativeField 91s | Avg Lap 1:21.435
2025-11-13T20:24:13.679 Device 24 | Lap 210 | Lap Time 0:32.910 | CumulativeField 123s | Avg Lap 2:09.780
2025-11-13T20:24:21.509 Device 23 | Lap 211 | Lap Time 0:47.070 | CumulativeField 137s | Avg Lap 1:53.224
2025-11-13T20:24:27.149 Device 26 | Lap 212 | Lap Time 0:35.070 | CumulativeField 187s | Avg Lap 1:16.605
2025-11-13T20:24:29.549 Device 38 | Lap 213 | Lap Time 0:34.800 | CumulativeField 171s | Avg Lap 0:35.294
2025-11-13T20:24:37.319 Device 79 | Lap 214 | Lap Time 0:44.700 | CumulativeField 180s | Avg Lap 1:47.280
2025-11-13T20:24:46.619 Device 24 | Lap 215 | Lap Time 0:32.940 | CumulativeField 82s | Avg Lap 2:02.863
2025-11-13T20:24:51.029 Device 22 | Lap 216 | Lap Time 17:36.039 | CumulativeField 14s | Avg Lap 3:40.275
2025-11-13T20:24:56.759 Device 23 | Lap 217 | Lap Time 0:35.250 | CumulativeField 71s | Avg Lap 1:44.560
2025-11-13T20:24:59.669 Device 26 | Lap 218 | Lap Time 0:32.520 | CumulativeField 108s | Avg Lap 1:15.228
2025-11-13T20:25:01.049 Device 27 | Lap 219 | Lap Time 1:03.060 | CumulativeField 243s | Avg Lap 1:20.700
2025-11-13T20:25:04.649 Device 38 | Lap 220 | Lap Time 0:35.100 | CumulativeField 94s | Avg Lap 0:35.277
2025-11-13T20:25:11.219 Device 79 | Lap 221 | Lap Time 0:33.899 | CumulativeField 237s | Avg Lap 1:43.786
